rep,Time_min,cellconc,OD600,Time_hrs
rep1,36,NA,NA,0.6
rep2,36,NA,NA,0.6
rep1,116,NA,NA,1.933333333
rep2,116,NA,NA,1.933333333
rep1,170,NA,0.01473,2.833333333
rep2,170,NA,0.0125,2.833333333
rep1,195,NA,0.0297,3.25
rep2,196,NA,0.02517,3.266666667
rep1,227,NA,0.07357,3.783333333
rep2,228,NA,0.06787,3.8
rep1,256,NA,0.1532,4.266666667
rep2,257,NA,0.14307,4.283333333
rep1,286,NA,0.33819,4.766666667
rep2,287,NA,0.3179,4.783333333
rep1,317,NA,0.8534,5.283333333
rep2,317,NA,0.8284,5.283333333
rep1,455,NA,4.1125,7.583333333
rep2,456,NA,4.1073,7.6
rep1,8,782615.4423,NA,0.133333333
rep1,38,792458.3515,NA,0.633333333
rep1,66,740603.0932,NA,1.1
rep1,98,710039.9043,NA,1.633333333
rep1,129,876366.895,NA,2.15
rep1,163,2181025.799,NA,2.716666667
rep1,189,5465736.921,NA,3.15
rep2,8,795761.2257,NA,0.133333333
rep2,38,694708.4484,NA,0.633333333
rep2,66,606664.2606,NA,1.1
rep2,98,623909.5028,NA,1.633333333
rep2,129,755866.4299,NA,2.15
rep2,163,1764254.585,NA,2.716666667
rep2,189,4561832.737,NA,3.15
rep1,218,14976249.13,NA,3.633333333
rep1,250,44138806.82,NA,4.166666667
rep1,279,109942244.4,NA,4.65
rep1,310,297614093.5,NA,5.166666667
rep2,218,13239359.11,NA,3.633333333
rep2,250,39034138.64,NA,4.166666667
rep2,279,102801880,NA,4.65
rep2,310,231384722.1,NA,5.166666667
