"Time_min","meanmass","medianmass","Q1","Q3","IQR","N_measured","rCV","Time_hrs","rep"
7.66012597878774,76.2867512546849,68.2145133989002,55.2549187978002,84.3070678031617,29.0521490053615,224,0.315587421801061,0.127668766313129,1
17.8734506607056,109.291503410689,69.6881849272547,56.5439222691958,85.4444990895429,28.9005768203471,400,0.307302126554623,0.297890844345093,1
27.9837520599365,95.444448722757,74.9435361089566,58.2955361155341,94.9246305605483,36.6290944450141,444,0.36216811206099,0.466395867665608,1
38.0934316555659,98.2229217409975,78.8259953254777,56.62302987193,110.39479149484,53.7717616229095,422,0.505478874044709,0.634890527592765,1
48.2034302711487,117.202067563717,86.0851946490114,58.8544518268856,139.088094056598,80.2336422297122,414,0.690631288395414,0.803390504519145,1
58.3128695805867,134.265267615531,87.3184916681253,62.6219485126246,163.364841638872,100.742893126247,405,0.854921819885257,0.971881159676445,1
68.4220359404882,150.315846025752,104.677725815801,66.1346515680791,216.766543441328,150.631891873249,403,1.06630356179584,1.1403672656748,1
78.5329136053721,194.785873620292,115.061801711504,67.0757882361111,311.072538199275,243.996749963163,383,1.57134330449675,1.30888189342287,1
88.6444640477498,237.539535451574,147.58700617943,71.2128749443827,372.272532231912,301.05965728753,362,1.51155045301781,1.47740773412916,1
98.7553900082906,312.224196903169,253.061867809203,97.1197444097282,475.709886083035,378.590141673307,386,1.10856407331756,1.64592316680484,1
108.865321095785,371.71604121693,391.383589095736,129.529146152569,542.357750213662,412.828604061093,494,0.781601487982785,1.81442201826308,1
118.977473179499,382.607176140318,410.500119248417,163.110353572737,537.690875959282,374.580522386544,575,0.67616099015177,1.98295788632498,1
129.089310097694,446.242061270483,458.718597563598,335.478584181366,585.743478357566,250.2648941762,689,0.404270259739913,2.15148850162823,1
139.201109846433,462.881267105508,459.011592988175,357.08770179232,569.218140206368,212.130438414047,911,0.342450293774734,2.32001849744055,1
149.311113659541,470.219776768444,460.435514081492,369.0793957712,569.43038855048,200.350992779281,1112,0.322434045830729,2.48851856099235,1
159.42306462129,469.285346714648,448.651448626559,367.373073501438,556.813876952721,189.440803451283,1588,0.312883499623433,2.6570510770215,1
169.519638609886,456.243358175217,431.233184835162,351.204690502551,534.673328956874,183.468638454323,2194,0.315259274739303,2.82532731016477,1
179.630573709806,447.172224019331,418.096507528703,342.537609619818,514.327010059631,171.789400439813,3057,0.304465460566332,2.99384289516343,1
189.745606891314,429.314509549575,397.646747572034,327.165000425974,494.059739003832,166.894738577858,4150,0.31100216974311,3.1624267815219,1
199.862747820218,435.319026618219,395.866806819444,323.374143782444,491.857971780464,168.48382799802,5446,0.315375056447901,3.33104579700363,1
209.982732224464,435.78152410507,395.39334112619,324.940130300437,491.105421111366,166.165290810929,6883,0.311407572368807,3.49971220374107,1
220.107682704926,437.131275874289,390.951036093329,320.06997238035,491.817153242076,171.747180861726,8440,0.325525831291461,3.66846137841543,1
230.217458995183,406.313051101663,348.989245625144,284.726492312404,453.780607555285,169.054115242881,9743,0.358948308480338,3.83695764991972,1
12.7146880308787,71.9904634874065,66.3548638594248,56.1481082519126,81.065037198947,24.9169289470345,366,0.278253066555423,0.211911467181312,2
22.8770667235057,74.9767528221592,72.097349310564,59.6292545730319,87.7696257866538,28.1403712136219,360,0.289220273265144,0.381284445391762,2
32.9875115474065,85.8029909251719,76.6056817801968,59.2442837997341,101.195962960258,41.9516791605239,421,0.405794890608026,0.549791859123442,2
43.0969829320908,93.786858049811,77.7843899822199,59.1190882393032,117.791930493452,58.6728422541488,436,0.558937032485081,0.71828304886818,2
53.205748351415,121.656951423755,96.4855217745057,65.2095968553897,162.036970387457,96.8273735320668,383,0.743625390293735,0.886762472523583,2
63.3165821790695,141.966456476944,106.495354026296,65.0775527265068,192.54364324642,127.466090519914,383,0.886915433436972,1.05527636965116,2
73.4272305409114,174.404647025133,126.366119558074,70.3532256823658,251.061587384576,180.70836170221,353,1.05965820972922,1.22378717568186,2
83.5367196480433,223.72580229215,144.602943873279,75.3289993191833,345.822280776796,270.493281457612,355,1.38610955068619,1.39227866080072,2
93.6488159656525,291.447965096231,241.182605385301,101.089857433941,452.162775621901,351.07291818796,374,1.07862269736113,1.56081359942754,2
103.759598318736,339.025522236117,342.440564036537,115.89628111308,519.972868604437,404.076587491357,419,0.874372906648841,1.7293266386456,2
113.869515196482,395.357330397531,416.411262289377,188.181601140278,545.863052385075,357.681451244797,516,0.636490843007528,1.8978252532747,2
123.981263009707,441.171914295619,461.479093419885,313.372206191679,592.887709441866,279.515503250188,578,0.448819872582909,2.06635438349512,2
134.0936678648,463.794230782311,460.013050270265,355.547046033123,583.667774962719,228.120728929596,767,0.367462314465901,2.23489446441333,2
144.204977504412,495.953008359025,476.914177523229,383.54637349565,593.160071729988,209.613698234338,1074,0.325684908757151,2.4034162917402,2
154.315771174431,472.262541101782,457.040472455102,367.819714631658,562.464146643269,194.644432011611,1393,0.315577137722245,2.57192951957385,2
164.427748600642,470.930081526224,443.692027383334,364.748272025767,549.328701948086,184.580429922319,1971,0.308263593058143,2.74046247667737,2
174.525901381175,452.110773616516,422.022134969132,347.240838435592,521.146031615578,173.905193179986,2762,0.305348315807641,2.90876502301958,2
184.638285279274,442.352695706444,405.424414323079,333.049343657876,508.549421026209,175.500077368333,3690,0.320764001218492,3.07730475465457,2
194.752282238007,429.249701250011,393.832319087966,325.64804881876,485.13705629485,159.48900747609,4969,0.300080386529643,3.24587137063345,2
204.87116847833,432.675454833364,388.163751083774,317.430213673921,488.090849328352,170.660635654431,6413,0.325789130661613,3.41451947463883,2
