rep,Time_min,cellconc,OD600,Time_hrs
rep1,44,NA,0.0268933,0.733333333
rep2,44,NA,0.0294633,0.733333333
rep1,80,NA,0.0392833,1.333333333
rep2,81,NA,0.0511233,1.35
rep1,132,NA,0.0910033,2.2
rep2,132,NA,0.1427633,2.2
rep1,151,NA,0.1357033,2.516666667
rep2,151,NA,0.1941533,2.516666667
rep1,173,NA,0.2212033,2.883333333
rep2,174,NA,0.3038733,2.9
rep1,216,NA,0.3927,3.6
rep2,216,NA,0.5707,3.6
rep1,225,NA,0.4436533,3.75
rep2,226,NA,0.6000933,3.766666667
rep1,252,NA,0.6364433,4.2
rep2,252,NA,0.7392433,4.2
rep1,283,NA,0.8106733,4.716666667
rep2,283,NA,0.8602633,4.716666667
rep1,298,NA,1.1676,4.966666667
rep2,299,NA,1.3448,4.983333333
rep1,319,NA,1.4635,5.316666667
rep2,320,NA,1.4659,5.333333333
rep1,342,NA,1.4918,5.7
rep2,343,NA,1.5731,5.716666667
rep1,15,42602404.88,NA,0.25
rep1,40,42145152.96,NA,0.666666667
rep1,70,41827924.26,NA,1.166666667
rep1,97,43060826.88,NA,1.616666667
rep1,128,42795038.82,NA,2.133333333
rep1,160,53742887.43,NA,2.666666667
rep1,189,88264042.1,NA,3.15
rep1,220,223651047.2,NA,3.666666667
rep1,250,441419146.9,NA,4.166666667
rep1,279,661689625.3,NA,4.65
rep1,310,1176857167,NA,5.166666667
rep2,15,43048073.19,NA,0.25
rep2,40,46386050.14,NA,0.666666667
rep2,70,44144935.03,NA,1.166666667
rep2,97,42608605.77,NA,1.616666667
rep2,128,47287091.37,NA,2.133333333
rep2,160,80013693.46,NA,2.666666667
rep2,189,154015523.3,NA,3.15
rep2,220,361076386.3,NA,3.666666667
rep2,250,643688279.6,NA,4.166666667
rep2,279,998377970.3,NA,4.65
rep2,310,1459827964,NA,5.166666667
