"beadsize","median_buoymass_pbs","IQR_buoymass_pbs","median_buoymass_mb2216","IQR_buoymass_mb2216","median_buoymass_lb","IQR_buoymass_lb","median_buoymass_mops_gluEA","IQR_buoymass_mops_gluEA","median_buoymass_mops_sucEA","IQR_buoymass_mops_sucEA","rCV_pbs","rCV_mb2216","rCV_lb","rCV_mops_gluEA","rCV_mops_sucEA","median_drymass","mb2216_fldensity","lb_fldensity","mops_gluEA_fldensity","mops_sucEA_fldensity","cf_MB2216toLB","cf_LBtoMB2216","cf_MB2216toMEG","cf_MB2216toMES","cf_LBtoMEG","cf_LBtoMES","cf_MEGtoLB","cf_MEGtoMES","cf_MEStoLB","cf_MEStoMEG"
1.6,97.5805395082403,10.9222374265394,62.1808630549383,8.32084643987179,97.2077081048062,11.4070881681195,94.5616746172352,10.8473987292408,91.3811064956776,10.3722692541663,0.0829404917604728,0.0991582765021677,0.0869545481255781,0.0850019047452696,0.0841076652721509,2242.00364296832,1.02087876890278,1.00447460853591,1.00571382827164,1.00720338719279,1.56330586822059,0.639670086531584,1.52075204446242,1.46960177144759,0.972779591874359,0.940060292308852,1.02798209209261,0.966365145980845,1.06376155676561,1.03480553304208
2,198.509550646279,17.495142816925,124.89608338236,12.1833793689893,197.778503769894,16.230559847412,192.261938579248,16.7066733273057,185.411136735795,15.4926905721865,0.0653061819198895,0.0722831642749181,0.0608096664586206,0.0643894731688187,0.0619169048639671,4560.9415356366,1.02124697027427,1.00446829841256,1.00573829790826,1.00731545952706,1.58354448285147,0.63149473275251,1.53937524198138,1.48452322694677,0.972107357040863,0.937468598465646,1.02869296560417,0.964367352716413,1.06670239583139,1.03694924676081
3,636.777259125963,46.1312108614201,404.211241832321,27.7901856539474,630.19555960707,45.9021908085133,616.661604670785,42.3694497646138,595.571433147817,42.2880862928145,0.0536816080637552,0.0509449650045049,0.0539729658049574,0.050912464855567,0.0526141285476972,14630.5497173361,1.02099071380612,1.00477235303036,1.00574365301277,1.00725724481397,1.55907479651072,0.641406045584245,1.52559241518224,1.47341630195154,0.978524198195361,0.945058123734098,1.0219471341069,0.965799441114504,1.0581359758581,1.03541165735821
