"median_mass","rep","exp_mass","date"
27.45265745,1,23.5003307976037,"03Oct2022"
98.43646901,1,96.5481624695399,"03Oct2022"
199.0587563,1,197.22816347092,"03Oct2022"
630.73936435,1,642.19986568928,"03Oct2022"
27.2776652130641,1,23.5003307976037,"04Feb2023"
97.4543612500352,1,96.5481624695399,"04Feb2023"
183.578527081283,1,197.22816347092,"04Feb2023"
591.080836739852,1,642.19986568928,"04Feb2023"
1539.11278855393,1,1574.31295986936,"04Feb2023"
27.6008634081932,1,23.5003307976037,"08Mar2023"
99.0065009941175,1,96.5481624695399,"08Mar2023"
97.1680600337252,2,96.5481624695399,"08Mar2023"
181.790738037198,1,197.22816347092,"08Mar2023"
638.659461001696,1,642.19986568928,"08Mar2023"
637.911803798865,2,642.19986568928,"08Mar2023"
1639.21307425818,1,1574.31295986936,"08Mar2023"
26.99563937,1,23.5003307976037,"12Sept2022"
97.057682095,1,96.5481624695399,"12Sept2022"
194.502234,1,197.22816347092,"12Sept2022"
617.80959255,1,642.19986568928,"12Sept2022"
27.67914822,1,23.5003307976037,"18Nov2022"
101.4078432,1,96.5481624695399,"18Nov2022"
202.28492285,1,197.22816347092,"18Nov2022"
642.5728014,1,642.19986568928,"18Nov2022"
27.64171237,1,23.5003307976037,"19Dec2022"
100.020164235,1,96.5481624695399,"19Dec2022"
201.0670706,1,197.22816347092,"19Dec2022"
640.6471595,1,642.19986568928,"19Dec2022"
27.26679774,1,23.5003307976037,"22Nov2022"
98.15333823,1,96.5481624695399,"22Nov2022"
199.45795315,1,197.22816347092,"22Nov2022"
631.5907669,1,642.19986568928,"22Nov2022"
27.1298172633735,1,23.5003307976037,"23Jan2023"
98.3014860545656,1,96.5481624695399,"23Jan2023"
199.472281193062,1,197.22816347092,"23Jan2023"
635.715892441301,1,642.19986568928,"23Jan2023"
1662.20136442211,1,1574.31295986936,"23Jan2023"
27.4987487906903,1,23.5003307976037,"23Mar2023"
98.2320658500487,1,96.5481624695399,"23Mar2023"
198.797484077847,1,197.22816347092,"23Mar2023"
641.918755025958,1,642.19986568928,"23Mar2023"
1645.87056017448,1,1574.31295986936,"23Mar2023"
27.296849425,1,23.5003307976037,"24Oct2022"
99.62933604,1,96.5481624695399,"24Oct2022"
200.5847292,1,197.22816347092,"24Oct2022"
637.9880824,1,642.19986568928,"24Oct2022"
26.9775382030432,1,23.5003307976037,"28Feb2023"
97.5618598201029,1,96.5481624695399,"28Feb2023"
180.062750893018,1,197.22816347092,"28Feb2023"
637.985047923519,1,642.19986568928,"28Feb2023"
1637.82029377232,1,1574.31295986936,"28Feb2023"
