rep,Time_min,cellconc,OD600,Time_hrs
rep1,4,NA,NA,0.066666667
rep2,4,NA,NA,0.066666667
rep1,30,NA,NA,0.5
rep2,31,NA,NA,0.516666667
rep1,58,NA,NA,0.966666667
rep2,58,NA,NA,0.966666667
rep1,91,NA,NA,1.516666667
rep2,91,NA,NA,1.516666667
rep1,120,NA,0.0125,2
rep2,120,NA,NA,2
rep1,143,NA,0.02466,2.383333333
rep2,144,NA,0.014165,2.4
rep1,157,NA,0.03571,2.616666667
rep2,157,NA,0.024645,2.616666667
rep1,171,NA,0.05303,2.85
rep2,171,NA,0.039005,2.85
rep1,186,NA,0.08435,3.1
rep2,187,NA,0.067765,3.116666667
rep1,202,NA,0.1297,3.366666667
rep2,202,NA,0.103375,3.366666667
rep1,219,NA,0.19896,3.65
rep2,220,NA,0.170085,3.666666667
rep1,235,NA,0.23331,3.916666667
rep2,235,NA,0.220405,3.916666667
rep1,247,NA,0.27532,4.116666667
rep2,249,NA,0.26388,4.15
rep1,252,NA,0.30558,4.2
rep2,253,NA,0.272505,4.216666667
rep1,274,NA,0.4167,4.566666667
rep2,274,NA,0.374245,4.566666667
rep1,285,NA,0.52476,4.75
rep2,286,NA,0.4792,4.766666667
rep1,303,NA,0.7267,5.05
rep2,304,NA,0.6548,5.066666667
rep1,320,NA,0.8399,5.333333333
rep2,321,NA,0.8178,5.35
rep1,341,NA,1.0455,5.683333333
rep2,342,NA,1.0316,5.7
rep1,371,NA,1.3831,6.183333333
rep2,371,NA,1.3624,6.183333333
rep1,385,NA,1.4785,6.416666667
rep2,386,NA,1.4079,6.433333333
rep1,383,463894800.6,NA,6.383333333
rep2,383,519401459.6,NA,6.383333333
rep1,3,4375692.904,NA,0.05
rep1,33,4416889.117,NA,0.55
rep1,59,4480397.199,NA,0.983333333
rep1,93,4366307.309,NA,1.55
rep1,123,4751347.161,NA,2.05
rep1,153,7244390.228,NA,2.55
rep1,181,14127811.45,NA,3.016666667
rep1,211,30920949.54,NA,3.516666667
rep1,242,80396144.04,NA,4.033333333
rep1,273,205681559.8,NA,4.55
rep1,302,278498417.9,NA,5.033333333
rep1,334,288754318,NA,5.566666667
rep2,3,5286106.695,NA,0.05
rep2,33,5640211.066,NA,0.55
rep2,59,5427824.087,NA,0.983333333
rep2,93,5657734.684,NA,1.55
rep2,123,5428294.489,NA,2.05
rep2,153,7560147.353,NA,2.55
rep2,181,12254311.41,NA,3.016666667
rep2,211,25121989.27,NA,3.516666667
rep2,242,65300012.08,NA,4.033333333
rep2,273,185558662.4,NA,4.55
rep2,302,205978365.2,NA,5.033333333
rep2,334,349360312.4,NA,5.566666667
