"Time_min","meanmass","medianmass","Q1","Q3","IQR","rCV","Time_hrs","rep"
8,65.3567225415023,61.0076808720806,51.020164982776,71.7001639812005,20.6799989984245,0.25117950787153,0.133333333333333,1
38,81.1540367559698,69.8416836057104,52.5921677367948,92.0269179748394,39.4347502380446,0.418391258884284,0.633333333333333,1
66,116.240794595493,84.7851902784865,59.5749525275786,150.929296618697,91.3543440911181,0.798412656139255,1.1,1
98,215.852552939931,145.781207425459,66.6219088945801,317.80446202784,251.18255313326,1.27675079085153,1.63333333333333,1
129,361.98670338955,384.85386010444,155.325258550882,496.24624891196,340.920990361078,0.656411381164275,2.15,1
163,434.594892612142,426.27875008536,343.873898427342,526.822425707443,182.948527280101,0.318019274212962,2.71666666666667,1
189,405.005902952004,382.361989814571,318.286966310176,473.519463122447,155.232496812271,0.300833459397144,3.15,1
218,425.005926926131,368.14817758772,305.454858780924,463.556335680197,158.101476899274,0.318222937160805,3.63333333333333,1
250,345.376330094101,311.801761449244,264.999351669726,390.177947375958,125.178595706232,0.297488182835096,4.16666666666667,1
279,316.014224274644,284.279789624916,239.336260819041,341.669554810198,102.333293991157,0.266740632344978,4.65,1
310,282.741523086118,247.106487615132,205.95086280223,298.991698980758,93.0408361785275,0.2790022239953,5.16666666666667,1
8,63.9648460627032,61.897060868589,53.4490605636604,72.380649080985,18.9315885173246,0.226639308789159,0.133333333333333,2
38,77.1632610569729,69.5783984001693,53.0481173815791,92.6644112249458,39.6162938433666,0.421907868144652,0.633333333333333,2
66,102.26885820824,83.369350787695,61.4719509673611,121.780182832073,60.3082318647119,0.536029120888241,1.1,2
98,211.108586624173,133.769922786322,75.8128929652654,318.15682513215,242.343932166885,1.34243071981517,1.63333333333333,2
129,337.140258843418,353.154484197807,174.776029115931,462.593032737357,287.817003621426,0.603906814797853,2.15,2
163,440.522546544718,431.216543386983,344.442724018014,533.20504500985,188.762320991835,0.324368074462823,2.71666666666667,2
189,408.16343704871,387.107318442445,322.340969665784,469.90248291187,147.561513246085,0.28246193266327,3.15,2
218,406.699807138902,380.827015524668,309.944004639592,468.875130196105,158.931125556514,0.309242672490361,3.63333333333333,2
250,346.303336832531,319.070045039741,276.974732692467,383.361697806541,106.386965114074,0.247070329462329,4.16666666666667,2
279,310.074362465755,278.992540076678,237.595796936211,337.670117771173,100.074320834962,0.26579589446487,4.65,2
310,270.674639896305,250.41065685996,208.258665046045,300.145248364154,91.88658331811,0.271905194022143,5.16666666666667,2
