"meanmass","medianmass","Q1","Q3","Medium","rep","Time_min","Time_hrs","Trt"
330.308768143622,311.404409589754,263.095093788283,384.832499093575,"SucEA",4,146,2.43333333333333,"Fixed"
319.026803989106,302.362681702954,260.275780711113,363.832040422557,"SucEA",4,214,3.56666666666667,"Fixed"
320.893226846495,300.514754144387,251.561843621254,370.142661610246,"SucEA",4,269,4.48333333333333,"Fixed"
309.281869204125,259.745088877276,210.815059934656,318.756454174914,"SucEA",4,328,5.46666666666667,"Fixed"
223.603619747532,211.484403188056,181.939852200113,259.022222007255,"SucEA",4,368,6.13333333333333,"Fixed"
113.57658455032,108.487330144271,91.9043998061985,129.615918429032,"SucEA",1,3,0.05,"Fixed"
131.235951065472,104.508274281482,87.6210197191869,124.982949477749,"SucEA",2,3,0.05,"Fixed"
113.854104986538,105.892719050738,96.0443555710174,132.014924038035,"SucEA",3,3,0.05,"Fixed"
168.48528040354,155.961574776265,134.742376069308,189.561214572497,"SucEA",1,50,0.833333333333333,"Fixed"
162.872356573272,163.203206152738,137.16784026832,190.500062161697,"SucEA",2,50,0.833333333333333,"Fixed"
166.374713531765,159.701046680719,135.436664025699,196.201147831163,"SucEA",3,50,0.833333333333333,"Fixed"
282.622784952685,280.012914855308,238.740317967634,330.185864720377,"SucEA",1,96,1.6,"Fixed"
282.945077849922,278.789713841057,237.297333636074,328.597225212544,"SucEA",2,96,1.6,"Fixed"
292.366419568172,287.465017999207,241.172272314919,351.694593963469,"SucEA",3,96,1.6,"Fixed"
318.693734844405,315.266831813805,255.441704099636,380.873450523864,"SucEA",1,135,2.25,"Fixed"
324.655161680566,318.275179253509,265.361827009107,377.31070903027,"SucEA",2,135,2.25,"Fixed"
318.084827413541,314.325192351934,254.927888621798,368.498351249596,"SucEA",3,135,2.25,"Fixed"
318.959970069763,306.458255576186,254.868970832204,365.617105050723,"SucEA",1,249,4.15,"Fixed"
321.504304425557,307.351360852408,257.195206888378,368.7921824577,"SucEA",2,249,4.15,"Fixed"
322.161892022561,305.187624395518,258.69890904052,370.045515229432,"SucEA",3,249,4.15,"Fixed"
279.521480653018,276.722163921791,227.890526776358,314.790040428784,"SucEA",1,304,5.06666666666667,"Fixed"
279.541352041104,267.340964142649,221.122978277106,326.623364299488,"SucEA",2,304,5.06666666666667,"Fixed"
271.735256012041,261.99631118649,224.912035418254,308.796844538251,"SucEA",3,304,5.06666666666667,"Fixed"
221.539375701121,213.144343507997,182.82775368389,247.633780590275,"SucEA",1,358,5.96666666666667,"Fixed"
229.169335439639,217.684650179794,188.01673680753,261.383842720581,"SucEA",2,358,5.96666666666667,"Fixed"
215.717087894033,211.253310824539,177.616066371738,242.110111581488,"SucEA",3,358,5.96666666666667,"Fixed"
