"medianmass","Q1","Q3","rep","Trt","Time_hrs","Csource"
319.181235843581,267.17479843714,389.531864535331,5,"Live",7,"Suc"
329.393535604799,274.532454539534,398.305589109723,6,"Live",7,"Suc"
338.036257489562,277.614558285677,421.933115453298,5,"Live",7.5,"Suc"
344.208569210486,282.686614643651,429.447094558413,6,"Live",7.5,"Suc"
313.007391226965,256.945687841921,383.810517564558,5,"Fixed",8,"Suc"
316.807221860049,261.862757961118,384.634745749845,6,"Fixed",8,"Suc"
