"Time_min","meanmass","medianmass","Q1","Q3","IQR","N_measured","rCV","Time_hrs","rep"
15,53.4765356782775,47.77231821,39.50658609,58.0521681,18.54558201,209,0.287661909330023,0.25,1
40,68.6655269693518,59.37398948,49.662878535,75.2914519875,25.6285734525,216,0.319850040305941,0.666666666666667,1
70,85.8284293210294,78.759285255,60.88115579,98.3226786225,37.4415228325,204,0.352265365652505,1.16666666666667,1
97,121.569551332595,100.2014491,79.38034489,152.9646393,73.58429441,185,0.544163409287561,1.61666666666667,1
128,211.144962813779,157.8374209,104.6599215,294.286836725,189.626915225,172,0.890242271956213,2.13333333333333,1
160,378.886039667269,373.1906242,243.896616275,488.995133825,245.09851755,216,0.486662819822658,2.66666666666667,1
189,478.246233422707,464.98983605,354.204590775,603.43014075,249.225549975,362,0.397161654328326,3.15,1
220,546.149895335117,506.7942151,409.4423743,632.6162395,223.1738652,729,0.32630963256076,3.66666666666667,1
250,546.967044319072,498.8932578,407.227572,619.5399326,212.3123606,1789,0.315344929491248,4.16666666666667,1
279,510.738918312547,463.01471215,378.84601905,578.223202825,199.377183775,3546,0.319079479119042,4.65,1
310,498.884858257115,443.97589245,361.2708312,556.5672226,195.2963914,7034,0.325951540361389,5.16666666666667,1
15,50.8680522371171,46.86421316,39.66062234,58.0121811025,18.3515587625,222,0.290168214210395,0.25,2
40,71.3946691792233,65.74698287,53.816132425,83.375590115,29.55945769,206,0.333149251755011,0.666666666666667,2
70,106.592370696711,93.88373462,70.42995385,137.3655262,66.93557235,225,0.528305135198402,1.16666666666667,2
97,168.218095265062,152.4529788,104.363545,203.892841925,99.529296925,160,0.483763647007368,1.61666666666667,2
128,321.327480382229,305.2232078,171.23202995,433.7192263,262.48719635,175,0.637248438273408,2.13333333333333,2
160,468.57924907588,442.69735575,360.1629652,559.779684925,199.616719725,284,0.334124402133895,2.66666666666667,2
189,481.272574567535,470.1424398,383.682957275,562.542964875,178.8600076,430,0.281904491940742,3.15,2
220,481.23468271873,476.4999403,377.09926165,606.417504175,229.318242525,1268,0.356610365164037,3.66666666666667,2
250,468.734825165914,452.06871965,371.5945671,568.189384725,196.594817625,2812,0.322244724149264,4.16666666666667,2
279,475.389164498151,431.722093,356.423644,530.1513588,173.7277148,5289,0.29818311074203,4.65,2
310,429.719328024763,390.72420705,315.1172283,498.177160575,183.059932275,9066,0.347169198550364,5.16666666666667,2
